Job_Title,Industry/Fields,Company_Size,Location,Sub-Category Fields, Salary_USD ,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,UX/UI Design," $1,11,392.17 ",Growth
Marketing Specialist,Technology,Large,Singapore,Marketing," $93,792.56 ",Decline
AI Researcher,Technology,Large,Singapore,UX/UI Design," $1,07,170.26 ",Growth
Sales Manager,Retail,Small,Berlin,Project Management," $93,027.95 ",Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,JavaScript," $87,752.92 ",Decline
UX Designer,Education,Large,San Francisco,Cybersecurity," $1,02,825.01 ",Growth
HR Manager,Finance,Medium,Singapore,Sales," $1,02,065.72 ",Growth
Cybersecurity Analyst,Technology,Small,Dubai,Machine Learning," $86,607.32 ",Decline
AI Researcher,Retail,Large,London,JavaScript," $75,015.86 ",Stable
Sales Manager,Entertainment,Medium,Singapore,Cybersecurity," $96,834.58 ",Decline
Marketing Specialist,Finance,Small,London,Python," $91,566.97 ",Growth
AI Researcher,Entertainment,Medium,Singapore,UX/UI Design," $78,902.57 ",Growth
AI Researcher,Transportation,Large,San Francisco,Python," $73,151.99 ",Growth
HR Manager,Retail,Small,Paris,Cybersecurity," $98,209.52 ",Decline
Product Manager,Finance,Medium,Singapore,JavaScript," $1,01,001.90 ",Growth
Sales Manager,Telecommunications,Small,Dubai,UX/UI Design," $82,799.36 ",Growth
Software Engineer,Manufacturing,Medium,Singapore,Machine Learning," $78,401.26 ",Decline
AI Researcher,Manufacturing,Large,Tokyo,Project Management," $73,394.90 ",Stable
Product Manager,Finance,Large,San Francisco,UX/UI Design," $97,645.10 ",Stable
Software Engineer,Entertainment,Small,Dubai,UX/UI Design," $73,920.46 ",Growth
Sales Manager,Retail,Medium,Sydney,JavaScript," $1,34,822.69 ",Decline
Data Scientist,Manufacturing,Small,Dubai,JavaScript," $81,794.37 ",Growth
UX Designer,Retail,Small,Tokyo,Cybersecurity," $41,495.71 ",Decline
Product Manager,Manufacturing,Medium,Paris,Data Analysis," $89,396.57 ",Decline
Operations Manager,Transportation,Medium,San Francisco,UX/UI Design," $88,539.33 ",Stable
Data Scientist,Entertainment,Medium,Sydney,Sales," $1,12,234.37 ",Stable
UX Designer,Transportation,Large,Tokyo,UX/UI Design," $95,762.52 ",Decline
HR Manager,Manufacturing,Small,Tokyo,Cybersecurity," $73,323.30 ",Growth
Cybersecurity Analyst,Telecommunications,Small,New York,Marketing," $84,272.16 ",Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Python," $96,548.40 ",Growth
Operations Manager,Transportation,Medium,Dubai,Project Management," $46,705.71 ",Stable
HR Manager,Telecommunications,Large,London,Data Analysis," $1,16,772.43 ",Stable
Sales Manager,Manufacturing,Large,Paris,Machine Learning," $73,376.60 ",Growth
HR Manager,Finance,Large,London,Machine Learning," $1,18,340.88 ",Stable
Cybersecurity Analyst,Transportation,Small,Dubai,Machine Learning," $97,849.30 ",Stable
Sales Manager,Healthcare,Large,Dubai,JavaScript," $1,02,591.88 ",Growth
Operations Manager,Entertainment,Small,San Francisco,Machine Learning," $1,12,988.47 ",Stable
Cybersecurity Analyst,Telecommunications,Small,Dubai,Project Management," $1,01,462.64 ",Stable
Software Engineer,Telecommunications,Small,New York,Python," $1,03,457.72 ",Stable
Marketing Specialist,Technology,Medium,Sydney,Machine Learning," $86,711.67 ",Growth
Operations Manager,Education,Small,Dubai,UX/UI Design," $97,443.37 ",Decline
Software Engineer,Transportation,Small,London,UX/UI Design," $78,250.04 ",Growth
UX Designer,Energy,Medium,Dubai,JavaScript," $83,131.78 ",Decline
Operations Manager,Telecommunications,Small,New York,Project Management," $1,29,293.90 ",Stable
UX Designer,Entertainment,Large,Singapore,Python," $73,836.13 ",Decline
Sales Manager,Healthcare,Large,Singapore,Data Analysis," $93,086.34 ",Growth
Software Engineer,Telecommunications,Small,Tokyo,Cybersecurity," $92,269.38 ",Growth
Marketing Specialist,Healthcare,Medium,Paris,Python," $83,784.91 ",Stable
Cybersecurity Analyst,Manufacturing,Large,Berlin,Cybersecurity," $1,00,288.02 ",Decline
AI Researcher,Manufacturing,Medium,Sydney,Marketing," $1,01,794.44 ",Stable
HR Manager,Education,Medium,Toronto,Cybersecurity," $71,483.62 ",Stable
Data Scientist,Finance,Large,Tokyo,Sales," $92,027.13 ",Growth
Marketing Specialist,Energy,Medium,Paris,UX/UI Design," $68,352.65 ",Decline
Software Engineer,Technology,Large,Singapore,Project Management," $1,05,770.97 ",Decline
AI Researcher,Education,Medium,London,Communication," $93,529.75 ",Decline
Marketing Specialist,Retail,Large,Toronto,JavaScript," $91,646.60 ",Decline
Software Engineer,Technology,Small,Paris,Sales," $1,03,180.63 ",Stable
Product Manager,Transportation,Large,Paris,Cybersecurity," $84,489.79 ",Stable
